Magic_Keys,Total_Meat_Purchased
24D7A7ED286,2.5
260AE23EC94,2.5
282A5C0B6E0,1.3
28CEDAF0943,2.2
28CEDB638D4,2.2
28CEDD22B1E,1.8
28CEDD51341,2.5
28CEE379894,3.6
28CEEAB432D,3.6
28CEF6859D6,3.6
28CEFA9C694,3.6
28CF191F3FF,2.2
28CF381EFA1,2.5
28CF4820EC3,2.4
28CF575799A,2.2
28CF640E049,0.0
28CF6BD19BE,2.2
28CF77784B4,0.0
28CF8D2E6B5,2.2
28CFA573AD7,2.2
28CFA6C4555,2.5
28CFAE72346,2.2
28CFB5A67E2,3.6
28CFC2D05B0,3.6
28CFC8A51D5,3.6
28CFCEFE8D8,3.3
28CFD6CAA49,2.2
28CFE13040F,2.2
28D00B2ACBF,2.5
28D05F0F1EE,1.8
28D08497BD2,2.9
28D0B726CEA,2.0
28D0B79FAEA,3.6
28D0BDFF05C,3.6
28D0CD6123B,2.4
28D0D18C3D3,2.2
28D0D288D95,3.3
28D0D47EFFE,3.6
28D0DF93C8E,3.6
28D0EA456A2,2.4
28D0FD926A9,3.6
28D109AD04C,2.5
28D112C4CE8,3.6
28D11C544A1,2.0
28D12D51E69,3.6
28D132799C3,2.4
28D13A013C6,3.6
28D141C23AE,3.6
28D1469932E,3.6
28D15D18B42,3.6
28D164B1904,3.6
28D17B0344A,0.0
28D17CF0EB7,0.0
28D190CA643,2.9
28D1949C405,3.6
28D19D238E5,3.6
28D1BAB248A,3.3
28D1CF1747F,3.3
28D1CF6933C,2.5
28D1D251CFA,3.3
28D1DB3F571,3.6
28D1DD960C9,3.6
28D1DDF750D,3.6
28D1DFDD69A,0.0
28D1EC37491,3.6
28D2094A8A9,2.0
28D218E2F52,3.6
28D22BCE387,3.6
28D24C14EC8,2.2
28D25265A08,3.6
28D258567AE,2.2
28D278E0F08,2.5
28D27A2CA33,2.0
28D27FF3F09,2.4
28D28DBC737,2.0
28D2A152A38,0.0
28D2A7D1246,2.2
28D2AC34E6E,2.2
28D2B549628,0.0
28D2C307822,2.5
28D2CAF1D13,2.2
28D2D7D8656,3.6
28D2EB63B95,0.0
28D2F209A74,2.2
28D2FC04CA5,3.6
28D3013DBBE,3.6
28D309AA200,3.6
28D309C8D0E,2.2
28D31913531,2.2
28D31CD99DC,2.2
28D32070381,0.0
28D33670B5F,3.6
28D3379FD7B,0.0
28D33943D60,2.2
28D33FEF6E7,2.2
28D344D0146,0.0
28D34ABF0B4,0.0
28D34D16761,0.0
28D35124495,2.2
28D37D21BA8,2.2
28D381619A8,2.4
28D3878D016,2.2
28D38EA16C1,1.8
28D393CD9E0,2.2
28D3B962BF7,2.4
28D3BD0DE3D,2.0
28D3E482BE4,2.2
28D3E5B711A,2.0
28D3EC8A172,2.2
28D3EEF4DDD,2.9
28D4075AB45,2.5
28D41F57034,3.6
28D423F955B,3.3
28D4550080F,0.0
28D45CFC486,0.0
28D4648E4BD,2.2
28D464DF097,3.6
28D47AAEA8C,2.5
28D48188FFD,2.2
28D48308A2C,2.5
28D48E77220,0.0
28D49FC3D51,2.9
28D4A80DC15,2.2
28D4BD7F2E1,2.2
28D4C8D86DF,2.2
28D4CDF5FCC,3.6
28D4D037367,2.2
28D4D18F2FE,2.2
28D4D6592BD,2.4
28D4F1969EB,3.6
28D4FAA5AC4,2.2
28D4FD50A9F,3.6
28D4FED17B1,2.5
28D50CE01BE,1.8
28D520D2222,3.6
28D524E691A,3.6
28D54B0FF5D,3.6
28D54D90385,2.2
28D54ECA72A,2.4
28D5506B9BB,1.8
28D55CF96B6,3.6
28D564AE5F9,2.2
28D576D261A,2.2
28D57BE23F1,2.5
28D58292176,3.6
28D597C0B45,3.6
28D59B358C1,3.6
28D5A802DD7,2.2
28D5B41222A,2.0
28D5BA86404,3.6
28D5CD1570F,3.6
28D5E505004,2.5
28D5E8F7AD3,3.6
28D5FD20001,3.3
28D616AA58A,0.0
28D66A09FDB,2.5
28D66FCB27B,3.6
28D67159E6A,0.0
28D6778C9F1,3.6
28D68AF177B,0.0
28D68D165CE,3.6
28D69510F62,2.2
28D6B1DC363,2.4
28D6B2B61E0,2.5
28D6BE8348B,3.6
28D6CCAA3A9,3.6
28D6D1AA0A4,3.6
28D6D7E9097,3.6
28D6E393BC4,3.6
28D6EB9D718,2.9
28D6F267F74,0.0
28D71F16B50,2.2
28D71F98CA1,0.0
28D7261383F,2.2
28D7433B131,2.2
28D76259BA8,2.5
28D76C68EEC,2.2
28D770BC671,2.2
28D779BCD18,3.6
28D77C20831,1.8
28D78FC2F9E,2.2
28D79768D21,2.5
28D79779952,3.6
28D79BC57F7,2.5
28D7A003F4D,3.6
28D7A29316E,3.6
28D7D76673C,2.4
28D7E241292,2.5
28D800B77CA,2.5
28D80155A9C,2.2
28D806F85F5,2.5
28D80D8EB86,2.2
28D81249985,3.6
28D81384C46,3.6
28D814A9FBC,3.6
28D814F8D5E,1.8
28D817F8D11,2.2
28D81C87C7A,2.2
28D8267795B,3.6
28D834E77AC,0.0
28D83BE577E,3.6
28D84AE926D,2.2
28D84E99B94,0.0
28D865DAD14,2.2
28D86F46A6C,2.4
28D87032F8B,2.4
28D87200479,0.0
28D873BEF35,2.2
28D8824490A,0.0
28D8833E1B1,3.6
28D88C7495B,3.6
28D893A8669,3.3
28D8AB519B8,3.6
28D8B6CD8FB,3.6
28D8BE213FA,2.5
28D8CC068FE,2.4
28D8DAE1E00,2.4
28D8E05A8FB,3.6
28D8E22C1E7,3.6
28D8F559B8B,2.5
